customer_id,age,gender,city,occupation,annual_income_inr,credit_score,num_credit_cards,debt_to_income,avg_monthly_spend_inr,late_payments_12m,has_loan,loan_amount_inr,loan_term_months,existing_customer_years,products_owned,defaulted,churned,customer_segment
17,44,Male,Delhi,Unemployed,1889200,623,1,0.44,41510,2,1,882500,161,6.3,4,0,0,Standard
18,24,Male,Bengaluru,Retired,1198300,764,2,0.29,30160,1,0,0,0,2.5,4,0,0,Silver
19,61,Male,Kolkata,Student,1335200,789,0,0.18,24900,1,0,0,0,4.9,3,0,0,Silver
20,41,Female,Mumbai,Self-Employed,1586600,703,4,0.35,7550,1,1,1660500,239,7.1,2,0,0,Standard
21,44,Male,Jaipur,Senior Professional,999500,778,3,0.42,21970,2,1,1668300,42,1.3,2,0,0,Silver
22,37,Male,Chennai,Unemployed,1528100,571,1,0.34,20360,1,1,1091000,205,5.7,3,0,0,Standard
23,27,Male,Mumbai,Retired,1217000,635,3,0.49,6710,1,0,0,0,1.4,3,1,0,Standard
24,66,Female,Bengaluru,Unemployed,957600,695,0,0.29,39350,0,1,871100,178,5.6,1,1,0,Silver
25,58,Female,Hyderabad,Self-Employed,1040100,698,3,0.16,20220,0,0,0,0,7.6,1,0,0,Silver
26,51,Female,Kolkata,Self-Employed,171400,794,1,0.25,35810,0,1,502800,218,8.1,3,0,0,Standard
27,38,Female,Kolkata,Junior Professional,1016800,600,1,0.32,5410,2,1,557700,131,3.6,0,0,0,Standard
28,60,Female,Hyderabad,Senior Professional,282500,637,1,0.24,46750,2,0,0,0,6.6,3,0,0,Standard
29,46,Male,Kolkata,Junior Professional,249900,673,1,0.26,43590,1,1,50000,234,5.7,2,0,0,Standard
30,41,Female,Jaipur,Unemployed,977200,639,1,0.44,24730,0,0,0,0,2.4,1,0,0,Standard
31,41,Female,Hyderabad,Self-Employed,454400,597,1,0.22,62470,1,0,0,0,0.1,2,1,0,Standard
32,29,Male,Hyderabad,Manager,897200,642,1,0.16,33380,1,1,1315500,139,8.3,3,0,1,Standard
33,22,Female,Delhi,Junior Professional,955400,660,3,0.42,37710,1,1,535200,235,4.1,2,0,0,Silver
34,46,Female,Hyderabad,Manager,973200,796,2,0.4,3760,1,0,0,0,3.5,1,1,0,Standard
35,64,Male,Bengaluru,Senior Professional,538400,598,1,0.2,19350,3,1,900700,86,5.9,0,0,0,Standard
36,21,Male,Ahmedabad,Retired,1259500,745,1,0.4,21980,2,1,120900,73,11.0,3,0,0,Silver
37,62,Male,Delhi,Unemployed,864300,782,3,0.18,50640,1,1,1162000,163,0.0,3,0,1,Silver
38,61,Female,Pune,Manager,1076400,639,0,0.23,54270,1,1,1213200,125,10.3,3,0,0,Standard
39,32,Male,Ahmedabad,Self-Employed,421400,701,0,0.19,23600,0,1,2103200,222,3.8,0,0,0,Standard
40,50,Female,Bengaluru,Junior Professional,828700,726,2,0.26,38410,1,1,1663000,69,4.5,3,0,0,Silver
41,26,Male,Mumbai,Junior Professional,1338900,713,1,0.39,52140,2,0,0,0,1.1,3,0,0,Silver
42,57,Female,Kolkata,Self-Employed,1288100,687,2,0.35,28200,2,0,0,0,0.0,2,0,0,Silver
43,54,Male,Pune,Self-Employed,581100,626,3,0.22,5760,2,0,0,0,5.7,2,0,1,Standard
44,36,Female,Pune,Student,681800,733,2,0.34,49220,1,1,1002800,185,3.1,2,0,0,Silver
45,21,Male,Jaipur,Junior Professional,504500,650,0,0.37,43500,1,0,0,0,2.3,2,0,0,Standard
46,68,Male,Delhi,Manager,637400,682,2,0.43,40820,1,1,50000,110,1.4,4,0,0,Silver
47,41,Male,Delhi,Student,340400,694,1,0.36,54190,5,0,0,0,0.0,2,0,0,Standard
48,64,Male,Chennai,Senior Professional,844700,748,4,0.41,55840,1,1,1461600,32,3.7,1,0,0,Silver
49,53,Male,Pune,Senior Professional,1153300,834,3,0.33,47420,2,1,1207200,210,4.6,0,0,0,Gold
50,58,Female,Lucknow,Retired,586000,621,1,0.22,11580,1,1,856600,42,6.4,3,1,0,Standard
51,57,Female,Kolkata,Junior Professional,863800,684,1,0.34,4740,1,1,1960300,163,4.9,1,0,0,Standard
52,28,Female,Bengaluru,Junior Professional,811800,561,2,0.47,42010,1,1,1353800,53,4.3,1,0,1,Standard
53,36,Female,Jaipur,Student,1322000,799,0,0.47,36310,3,1,50000,192,0.7,4,0,0,Silver
54,42,Male,Chennai,Junior Professional,655400,684,0,0.01,37810,0,1,666700,87,7.2,1,0,0,Silver
55,43,Female,Jaipur,Self-Employed,669900,656,4,0.4,68820,1,0,0,0,3.1,0,1,0,Silver
56,20,Female,Bengaluru,Senior Professional,561600,684,2,0.26,53350,1,1,1544400,61,4.8,0,0,0,Standard
57,46,Male,Ahmedabad,Junior Professional,445000,688,3,0.37,31320,3,1,644100,138,1.9,0,0,0,Standard
58,26,Female,Pune,Retired,1111700,621,3,0.16,20280,1,0,0,0,7.0,1,1,1,Standard
59,56,Male,Pune,Self-Employed,846000,775,1,0.27,47900,0,0,0,0,8.1,2,0,0,Silver
60,53,Female,Lucknow,Junior Professional,921900,732,4,0.13,44250,1,0,0,0,2.3,2,0,0,Silver
61,65,Female,Delhi,Junior Professional,1409900,743,1,0.27,30700,0,1,689700,164,9.3,3,0,0,Silver
62,56,Female,Hyderabad,Unemployed,1432800,626,2,0.39,1000,0,1,1389500,106,7.4,3,0,0,Standard
63,37,Male,Delhi,Self-Employed,241500,621,1,0.37,15830,2,1,1601600,130,10.8,3,1,0,Standard
64,68,Female,Jaipur,Retired,1159100,671,3,0.58,51950,1,0,0,0,8.5,3,0,0,Silver
65,39,Male,Jaipur,Student,990300,744,4,0.26,9160,2,0,0,0,4.3,3,0,0,Standard
66,34,Female,Jaipur,Self-Employed,715400,720,1,0.21,46580,0,0,0,0,0.3,2,0,1,Silver
67,65,Male,Bengaluru,Student,1031100,618,0,0.49,43870,2,0,0,0,5.6,4,0,0,Standard
68,37,Female,Bengaluru,Senior Professional,209400,733,2,0.11,15180,1,1,842000,135,0.0,1,0,0,Standard
69,21,Female,Chennai,Self-Employed,1485100,602,3,0.34,53000,0,0,0,0,7.5,2,0,1,Standard
70,42,Male,Ahmedabad,Self-Employed,1106000,627,2,0.38,33410,0,0,0,0,5.1,1,0,0,Standard
71,59,Male,Ahmedabad,Student,553900,693,2,0.04,32030,0,1,1107300,48,2.5,1,0,0,Standard
72,27,Female,Lucknow,Junior Professional,665800,586,1,0.19,12010,0,1,993800,133,3.5,1,0,0,Standard
73,42,Male,Ahmedabad,Self-Employed,218700,603,5,0.16,60950,0,1,715700,24,8.5,1,1,0,Standard
74,24,Male,Lucknow,Junior Professional,774400,804,0,0.42,11160,1,0,0,0,5.6,2,0,0,Standard
75,53,Male,Bengaluru,Junior Professional,706900,789,4,0.24,10930,1,1,1692200,214,4.1,2,0,0,Standard
76,42,Male,Kolkata,Junior Professional,370000,863,1,0.29,37830,1,0,0,0,3.1,2,0,1,Standard
77,35,Female,Pune,Junior Professional,1210700,716,2,0.13,15390,1,0,0,0,4.8,1,0,1,Standard
78,29,Female,Delhi,Unemployed,1410700,732,4,0.22,76360,1,1,827400,220,6.9,4,0,0,Gold
79,47,Male,Lucknow,Student,889100,668,1,0.23,15240,2,1,390500,92,5.9,4,0,1,Standard
80,52,Male,Delhi,Manager,777700,652,3,0.29,50860,0,1,1117500,35,1.0,3,0,0,Silver
81,66,Male,Jaipur,Self-Employed,1074000,750,2,0.28,67860,1,1,1743500,193,5.9,3,0,0,Gold
82,40,Male,Bengaluru,Student,892100,789,1,0.5,49310,1,1,1190800,115,1.4,4,0,0,Silver
83,26,Female,Bengaluru,Self-Employed,467100,743,3,0.4,19900,0,1,390000,76,4.5,3,0,0,Standard
84,61,Male,Kolkata,Senior Professional,638900,613,4,0.11,41870,3,1,359400,170,0.0,1,0,0,Standard
85,50,Female,Chennai,Unemployed,781400,711,4,0.44,62110,1,1,50000,150,3.2,1,0,0,Silver
86,54,Female,Hyderabad,Self-Employed,999300,618,2,0.43,5020,0,1,739600,121,2.4,2,1,0,Standard
87,23,Female,Lucknow,Self-Employed,903700,654,2,0.33,56950,2,1,305200,92,0.6,3,0,0,Silver
88,34,Female,Kolkata,Senior Professional,984100,811,1,0.44,44820,2,0,0,0,3.2,4,0,1,Silver
89,57,Male,Kolkata,Unemployed,290100,584,1,0.46,72800,0,0,0,0,7.3,4,1,0,Standard
90,61,Male,Ahmedabad,Manager,1166100,853,3,0.26,43570,1,1,50000,135,2.0,4,0,0,Gold
91,40,Male,Jaipur,Senior Professional,901400,724,4,0.17,38040,1,1,50000,173,0.0,4,0,0,Silver
92,59,Female,Delhi,Junior Professional,1921100,643,2,0.39,48680,2,1,1177300,130,9.3,2,0,0,Standard
93,61,Female,Chennai,Student,744900,685,2,0.22,10200,2,0,0,0,3.1,2,0,0,Standard
94,38,Male,Lucknow,Junior Professional,1029400,625,3,0.35,18690,0,0,0,0,8.4,2,0,0,Standard
95,64,Male,Jaipur,Junior Professional,2031700,636,2,0.2,36390,2,1,409500,232,1.1,2,0,0,Standard
96,32,Male,Mumbai,Retired,977600,686,1,0.44,24530,2,1,957000,28,7.7,3,0,0,Silver
97,30,Female,Bengaluru,Retired,872900,654,1,0.23,22770,0,0,0,0,7.0,7,0,0,Silver
98,53,Female,Bengaluru,Junior Professional,505200,605,1,0.29,75760,1,1,888700,105,7.0,2,0,0,Standard
99,51,Female,Pune,Retired,1511300,662,3,0.29,70880,0,1,1372700,134,6.2,2,0,0,Silver
100,25,Female,Jaipur,Self-Employed,436400,575,1,0.15,1000,0,1,374900,15,7.7,3,0,0,Standard
101,61,Male,Chennai,Senior Professional,1070800,578,1,0.45,35800,0,1,1692500,155,3.9,2,0,0,Standard
102,28,Female,Delhi,Retired,710600,577,1,0.47,11160,0,1,1258000,54,3.7,4,0,0,Standard
103,59,Female,Pune,Self-Employed,824300,814,4,0.3,58010,3,1,597200,154,6.7,4,0,0,Silver
104,18,Male,Bengaluru,Manager,330400,712,2,0.23,39450,1,1,660100,147,9.8,5,0,0,Standard
105,59,Female,Kolkata,Junior Professional,1437300,728,0,0.29,64300,0,1,868100,215,13.8,3,0,0,Gold
106,58,Male,Lucknow,Junior Professional,788900,681,3,0.26,17770,0,1,542800,70,4.9,4,0,0,Standard
107,58,Female,Kolkata,Retired,414000,721,2,0.32,16000,1,1,50000,188,1.9,1,0,0,Standard
108,52,Female,Lucknow,Junior Professional,1401100,774,2,0.28,30620,1,1,210500,33,4.0,4,0,0,Silver
109,42,Female,Pune,Student,698300,713,1,0.21,23060,1,1,208600,187,2.0,3,0,0,Silver
110,54,Female,Jaipur,Junior Professional,1033800,811,1,0.46,33150,1,1,680300,130,4.2,3,0,0,Silver
111,32,Male,Lucknow,Senior Professional,1236600,677,1,0.29,58740,1,1,67800,16,4.3,2,0,0,Silver
112,58,Female,Delhi,Senior Professional,1089600,728,3,0.55,44350,1,0,0,0,5.3,0,0,0,Silver
113,46,Female,Kolkata,Retired,120000,736,2,0.33,29070,0,1,875900,12,5.6,3,0,0,Standard
114,41,Female,Bengaluru,Senior Professional,1178100,605,3,0.27,36080,2,1,549300,87,5.4,2,0,0,Standard
115,44,Female,Mumbai,Retired,859800,683,1,0.29,3350,0,0,0,0,0.0,2,0,1,Standard
116,47,Male,Bengaluru,Manager,768400,533,2,0.28,1000,1,1,810400,26,1.9,3,0,0,Standard
117,19,Female,Delhi,Manager,856400,670,4,0.31,59220,0,1,1361900,196,1.0,3,0,0,Silver
118,25,Female,Delhi,Junior Professional,256000,658,1,0.35,19770,1,1,50000,122,6.4,1,0,0,Standard
119,30,Male,Mumbai,Junior Professional,976900,653,2,0.19,63680,1,1,50000,211,0.0,1,0,0,Silver
120,23,Male,Lucknow,Unemployed,354200,647,1,0.2,28870,0,1,179400,165,8.4,1,0,0,Standard
121,40,Female,Chennai,Self-Employed,785700,721,3,0.41,37690,1,1,50000,207,6.3,3,0,0,Silver
122,52,Female,Delhi,Senior Professional,962500,609,2,0.38,51610,5,1,50000,84,5.1,4,1,0,Standard
123,52,Female,Hyderabad,Retired,1329600,829,2,0.13,53950,1,0,0,0,0.8,3,0,0,Gold
124,42,Male,Ahmedabad,Unemployed,572200,725,2,0.38,24710,1,1,775000,116,4.2,3,0,0,Standard
125,62,Other,Kolkata,Junior Professional,1480600,616,0,0.42,36420,0,1,570800,131,0.0,2,1,1,Standard
126,47,Male,Mumbai,Manager,1278700,732,5,0.35,34640,2,0,0,0,7.1,2,0,0,Silver
127,22,Female,Delhi,Self-Employed,728200,760,1,0.12,42570,3,0,0,0,4.4,2,0,0,Silver
128,57,Male,Pune,Self-Employed,456500,710,2,0.16,38860,0,0,0,0,9.4,2,0,0,Standard
129,47,Female,Lucknow,Junior Professional,322500,600,0,0.31,20400,1,0,0,0,9.1,1,0,0,Standard
130,51,Female,Mumbai,Junior Professional,1008700,859,1,0.55,37990,1,1,927300,80,5.1,4,0,0,Silver
131,47,Female,Jaipur,Senior Professional,605100,731,3,0.26,5730,1,1,68700,220,7.0,3,0,1,Standard
132,46,Female,Mumbai,Junior Professional,1379700,580,3,0.39,35060,0,1,975800,197,9.6,3,0,0,Standard
133,22,Male,Chennai,Junior Professional,628200,697,1,0.24,37370,0,1,50000,56,0.0,3,0,0,Silver
134,47,Female,Bengaluru,Manager,539700,662,2,0.52,15390,1,1,779000,62,3.5,2,0,0,Standard
135,59,Female,Chennai,Senior Professional,993500,681,3,0.32,29360,1,0,0,0,4.0,3,0,0,Silver
136,33,Male,Lucknow,Junior Professional,625600,585,3,0.17,24730,3,1,219000,141,6.9,2,0,0,Standard
137,49,Female,Bengaluru,Manager,903400,684,1,0.22,25110,1,1,1437700,76,5.1,2,0,0,Silver
138,19,Female,Kolkata,Student,1294400,613,1,0.21,50150,0,0,0,0,4.9,2,0,0,Standard
139,36,Female,Hyderabad,Senior Professional,946900,652,1,0.33,44250,0,1,925200,217,0.0,2,0,0,Silver
140,40,Female,Kolkata,Self-Employed,948400,711,1,0.24,54230,1,1,1771300,20,2.0,4,0,0,Silver
141,69,Male,Mumbai,Retired,982100,642,0,0.26,76570,0,0,0,0,6.4,1,0,0,Standard
142,29,Female,Bengaluru,Junior Professional,222800,657,5,0.55,56950,1,1,1327900,209,4.2,1,0,0,Standard
143,32,Male,Lucknow,Unemployed,1056700,746,3,0.25,4280,2,0,0,0,3.1,2,1,0,Standard
144,39,Male,Ahmedabad,Retired,964000,609,1,0.34,21890,0,1,114700,173,3.5,4,0,0,Standard
145,69,Male,Lucknow,Manager,1257200,628,4,0.29,61840,1,1,846100,186,7.2,3,1,0,Standard
146,62,Male,Kolkata,Retired,1142300,580,2,0.31,27100,0,0,0,0,5.9,5,0,0,Standard
147,19,Male,Delhi,Junior Professional,819200,614,2,0.4,25770,1,0,0,0,2.4,2,0,0,Standard
148,30,Female,Chennai,Student,1313000,690,1,0.06,41680,0,1,1799900,27,10.6,3,0,0,Silver
149,60,Male,Jaipur,Unemployed,782900,731,3,0.34,29310,0,0,0,0,4.4,3,0,0,Silver
150,21,Male,Kolkata,Senior Professional,998900,616,3,0.27,69190,0,1,779600,236,2.1,3,0,0,Standard
151,62,Male,Pune,Senior Professional,775500,729,0,0.34,31770,3,0,0,0,1.9,1,0,0,Silver
152,32,Female,Jaipur,Student,1084700,688,1,0.3,83240,0,0,0,0,6.0,3,0,0,Silver
153,65,Male,Delhi,Student,749400,569,2,0.3,23800,2,1,254800,83,7.4,1,0,1,Standard
154,33,Male,Lucknow,Junior Professional,1559000,694,1,0.36,21860,0,1,252600,30,8.5,3,1,0,Silver
155,40,Female,Delhi,Junior Professional,1706900,776,1,0.25,18290,1,1,1134600,213,7.0,3,0,0,Standard
156,52,Male,Lucknow,Retired,1249600,529,2,0.56,19260,2,0,0,0,5.6,2,0,0,Standard
157,24,Female,Jaipur,Junior Professional,1516500,840,0,0.2,49470,1,0,0,0,1.0,2,0,0,Gold
158,46,Male,Chennai,Unemployed,284300,631,2,0.49,8120,1,1,1991600,122,7.4,1,0,1,Standard
159,44,Male,Chennai,Student,331400,548,4,0.17,14910,1,1,1169800,135,5.2,1,1,0,Standard
160,58,Male,Mumbai,Junior Professional,771400,691,2,0.29,45390,0,1,1358900,103,6.9,1,1,0,Silver
161,69,Female,Hyderabad,Retired,916500,746,1,0.36,1000,1,1,1238700,124,5.1,6,0,0,Standard
162,52,Male,Bengaluru,Junior Professional,820700,658,5,0.21,5550,0,0,0,0,3.8,3,0,0,Standard
163,39,Female,Ahmedabad,Junior Professional,243100,705,1,0.2,33960,0,1,1114300,76,4.1,2,0,0,Standard
164,39,Male,Delhi,Unemployed,1360600,850,0,0.29,43160,1,0,0,0,5.3,1,0,0,Gold
165,39,Female,Jaipur,Junior Professional,1761700,696,1,0.43,28280,1,0,0,0,3.9,2,0,0,Silver
166,60,Male,Hyderabad,Student,1412400,900,1,0.33,43710,1,1,1382500,235,0.0,3,0,0,Gold
167,34,Male,Jaipur,Retired,1334200,781,6,0.55,17790,1,0,0,0,10.7,3,0,1,Standard
168,26,Male,Hyderabad,Senior Professional,990400,684,1,0.39,65280,1,1,1605200,75,1.5,4,0,0,Silver
169,35,Female,Ahmedabad,Self-Employed,562800,703,2,0.27,53220,1,0,0,0,0.0,4,0,0,Standard
170,19,Male,Kolkata,Junior Professional,929000,654,3,0.01,18710,2,1,88000,77,2.7,2,0,0,Standard
171,23,Female,Lucknow,Junior Professional,1742200,700,3,0.13,31230,2,0,0,0,0.7,1,0,1,Silver
172,22,Female,Pune,Senior Professional,759200,725,3,0.29,1000,1,1,50000,162,13.6,2,0,0,Standard
173,58,Other,Hyderabad,Self-Employed,718000,648,3,0.13,53590,0,1,1271000,172,3.7,3,1,0,Standard
174,55,Male,Kolkata,Junior Professional,1342900,570,1,0.3,9410,0,1,1498400,215,7.3,2,0,0,Standard
175,54,Female,Mumbai,Retired,1369500,786,2,0.35,24230,2,0,0,0,4.7,5,0,0,Silver
176,42,Female,Lucknow,Self-Employed,560800,758,4,0.28,29140,1,1,797200,210,0.0,2,0,0,Standard
177,55,Female,Kolkata,Manager,795400,567,3,0.29,7470,2,0,0,0,7.5,3,1,1,Standard
178,26,Other,Mumbai,Senior Professional,699200,694,2,0.55,18340,0,0,0,0,0.5,3,0,0,Standard
179,64,Female,Delhi,Manager,927900,762,0,0.33,42450,0,1,590500,94,5.7,3,0,1,Silver
180,44,Female,Mumbai,Self-Employed,1341500,754,1,0.3,25040,0,1,1060200,94,0.0,0,0,0,Silver
181,66,Female,Kolkata,Junior Professional,578400,624,0,0.2,52440,0,1,756100,113,4.9,4,0,0,Standard
182,25,Male,Kolkata,Unemployed,1335900,759,0,0.32,49830,1,1,50000,42,3.8,2,0,0,Gold
183,43,Female,Delhi,Senior Professional,940700,681,1,0.26,18020,0,0,0,0,3.5,1,0,0,Standard
184,54,Male,Pune,Retired,1830500,711,5,0.54,25930,1,0,0,0,4.1,4,1,0,Silver
185,43,Female,Chennai,Retired,1027500,606,2,0.39,25940,2,1,685500,138,2.3,0,0,1,Standard
186,41,Female,Chennai,Student,861200,339,0,0.49,26920,1,1,345600,160,0.0,5,1,0,Standard
187,26,Male,Kolkata,Senior Professional,1129900,618,1,0.35,64500,2,0,0,0,6.6,3,0,0,Standard
188,37,Male,Jaipur,Manager,765100,723,1,0.47,38830,0,1,50000,164,7.8,2,0,0,Silver
189,30,Male,Lucknow,Manager,181900,664,0,0.2,1810,1,1,125800,83,5.2,1,0,0,Standard
190,33,Female,Delhi,Unemployed,803800,732,1,0.35,21900,0,1,237300,45,0.0,2,0,0,Silver
191,53,Male,Lucknow,Junior Professional,797500,768,1,0.22,25760,0,0,0,0,2.8,4,0,0,Silver
192,50,Female,Pune,Manager,263100,654,3,0.27,43470,0,1,1593300,134,4.9,3,1,1,Standard
193,49,Female,Delhi,Retired,870800,646,1,0.32,71040,1,1,1157900,154,0.9,3,0,0,Standard
194,36,Female,Lucknow,Retired,120000,505,3,0.21,50750,1,1,248400,204,6.1,4,0,0,Standard
195,67,Male,Hyderabad,Student,760900,556,5,0.14,32960,1,0,0,0,7.1,1,0,0,Standard
196,22,Female,Chennai,Retired,997400,573,3,0.44,17990,0,0,0,0,1.9,0,0,1,Standard
197,35,Male,Lucknow,Junior Professional,938800,725,1,0.12,63420,0,0,0,0,8.1,1,0,0,Silver
198,24,Female,Pune,Manager,735600,654,3,0.52,29060,0,1,1198300,120,2.4,2,0,0,Silver
199,35,Male,Delhi,Junior Professional,865800,637,3,0.22,6590,1,1,691800,163,3.6,2,1,0,Standard
200,68,Male,Mumbai,Manager,586400,628,4,0.39,42150,0,1,789800,193,4.1,2,0,0,Standard
201,37,Male,Jaipur,Student,904300,618,2,0.4,10290,1,0,0,0,8.0,3,0,0,Standard
202,65,Female,Hyderabad,Junior Professional,923200,754,1,0.19,48190,3,1,786600,108,3.5,2,0,0,Silver
203,43,Male,Mumbai,Junior Professional,539900,687,4,0.38,27120,1,1,2159400,208,8.5,1,0,0,Standard
204,54,Female,Mumbai,Retired,1007100,759,1,0.34,28890,0,1,849200,154,1.5,1,0,1,Silver
205,41,Female,Lucknow,Manager,1004600,505,3,0.4,1000,1,1,241000,141,11.6,3,1,1,Standard
206,31,Female,Pune,Self-Employed,833500,723,2,0.47,56550,0,0,0,0,0.0,4,0,0,Silver
207,57,Male,Pune,Self-Employed,1868400,641,1,0.42,11420,0,0,0,0,6.0,4,0,0,Standard
208,68,Male,Pune,Senior Professional,843700,657,3,0.22,20550,0,1,674200,214,2.9,2,0,1,Silver
209,31,Male,Chennai,Student,788300,788,3,0.3,38820,0,1,237600,53,0.0,3,0,0,Silver
210,58,Male,Lucknow,Junior Professional,731000,649,4,0.22,32080,1,0,0,0,5.6,3,0,1,Standard
211,31,Female,Kolkata,Senior Professional,511600,719,3,0.25,80920,0,1,962000,102,6.1,3,0,0,Standard
212,55,Male,Kolkata,Retired,1174400,599,1,0.38,1000,0,0,0,0,7.5,3,0,0,Standard
213,59,Male,Jaipur,Junior Professional,625500,683,1,0.39,27340,0,0,0,0,2.6,3,0,0,Silver
214,41,Male,Mumbai,Self-Employed,672800,553,4,0.39,50720,1,1,717600,61,4.6,1,0,0,Standard
215,56,Female,Hyderabad,Unemployed,684700,675,0,0.35,26140,1,1,1354500,121,6.7,2,0,0,Silver
216,32,Male,Jaipur,Retired,506000,711,0,0.37,34930,1,1,854300,127,3.6,3,1,0,Standard
217,22,Female,Mumbai,Junior Professional,199600,769,1,0.27,86700,1,1,570600,225,2.5,1,0,0,Standard
218,23,Male,Hyderabad,Retired,714800,615,1,0.48,36320,2,1,1547500,127,4.8,2,0,0,Standard
219,41,Female,Delhi,Manager,1249300,638,2,0.4,63010,0,1,158800,217,9.3,3,0,0,Standard
220,64,Female,Ahmedabad,Senior Professional,978800,628,3,0.32,47990,0,1,50000,236,2.5,2,0,0,Standard
221,24,Male,Jaipur,Self-Employed,1524200,660,1,0.46,49750,0,1,441000,177,3.5,3,1,0,Silver
222,41,Male,Bengaluru,Junior Professional,1200400,603,1,0.26,31030,0,0,0,0,1.0,1,0,0,Standard
223,54,Male,Kolkata,Unemployed,1109600,507,0,0.33,2420,1,0,0,0,4.6,0,1,1,Standard
224,28,Male,Ahmedabad,Self-Employed,1653100,597,1,0.43,56750,1,0,0,0,7.5,3,0,0,Standard
225,55,Male,Lucknow,Self-Employed,861100,676,2,0.17,46140,0,1,835800,210,0.0,2,0,0,Silver
226,33,Female,Lucknow,Unemployed,925200,668,3,0.59,45710,0,0,0,0,3.3,4,0,1,Silver
227,60,Female,Chennai,Manager,895400,724,2,0.25,32000,0,1,1102200,197,7.4,2,0,0,Silver
228,48,Male,Mumbai,Student,1517500,747,1,0.27,22040,0,0,0,0,2.6,3,0,0,Silver
229,46,Female,Ahmedabad,Junior Professional,901000,644,1,0.32,61450,1,1,50000,71,2.2,2,0,0,Standard
230,27,Male,Pune,Retired,640700,553,1,0.41,41530,3,1,1248100,32,2.4,1,1,0,Standard
231,42,Female,Chennai,Manager,1135100,712,0,0.42,1000,2,1,750200,104,6.3,2,0,0,Standard
232,62,Male,Pune,Retired,573500,679,0,0.5,33930,3,0,0,0,4.7,1,0,0,Standard
233,19,Female,Kolkata,Senior Professional,1113400,659,3,0.31,28920,1,1,1175300,164,7.8,3,0,0,Silver
234,57,Female,Bengaluru,Senior Professional,1065500,778,0,0.36,1000,0,0,0,0,2.8,3,0,0,Standard
235,43,Male,Hyderabad,Unemployed,824200,716,2,0.14,20040,2,1,268300,181,4.5,1,0,1,Silver
236,55,Male,Hyderabad,Self-Employed,1126300,690,0,0.19,86920,1,0,0,0,3.9,3,0,0,Silver
237,52,Male,Chennai,Senior Professional,304900,693,4,0.31,1000,2,1,745900,201,5.6,1,0,0,Standard
238,40,Female,Kolkata,Student,965200,748,0,0.36,11920,0,0,0,0,0.0,2,1,0,Standard
239,34,Female,Mumbai,Retired,714900,625,1,0.31,1000,2,0,0,0,4.3,3,0,1,Standard
240,50,Female,Bengaluru,Self-Employed,2044900,610,2,0.38,3340,0,1,1106800,156,5.7,4,0,0,Standard
241,25,Female,Ahmedabad,Senior Professional,962300,661,2,0.31,1000,0,0,0,0,0.0,0,0,0,Standard
242,48,Female,Mumbai,Manager,661400,586,2,0.29,11310,1,1,71300,116,2.5,4,0,0,Standard
243,22,Male,Ahmedabad,Junior Professional,348700,676,0,0.61,69320,0,0,0,0,4.2,3,0,0,Standard
244,51,Female,Ahmedabad,Senior Professional,1422200,688,2,0.29,53120,0,1,50000,197,5.8,3,0,0,Silver
245,50,Female,Hyderabad,Junior Professional,760000,674,2,0.44,29820,0,1,309400,129,8.5,2,0,0,Silver
246,22,Male,Kolkata,Junior Professional,583500,651,2,0.16,68480,2,0,0,0,11.4,3,0,0,Standard
